corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
climate,2018,deservingness,Deservingness,FD,by_outlet,18.1818,2,11
climate,2019,deservingness,Deservingness,FD,by_outlet,0.0,0,14
climate,2020,deservingness,Deservingness,FD,by_outlet,0.0,0,11
climate,2021,deservingness,Deservingness,FD,by_outlet,6.4516,2,31
climate,2022,deservingness,Deservingness,FD,by_outlet,8.3333,2,24
climate,2023,deservingness,Deservingness,FD,by_outlet,5.0,1,20
climate,2014,responsibility,Responsibility,FD,by_outlet,100.0,5,5
climate,2015,responsibility,Responsibility,FD,by_outlet,100.0,9,9
climate,2016,responsibility,Responsibility,FD,by_outlet,100.0,5,5
climate,2017,responsibility,Responsibility,FD,by_outlet,66.6667,6,9
